"100";"usually bad news dumped late friday muscovite head";"0.00075";"0.26335";"0.00691";"0.00007";"0.00075";"0.00007";"0.00007";"0.00007";"0.02674";"0.00075";"0.19155";"0.47330";"0.03563"
"101";"russia ’ emergency minister ha died training exerc";"0.06470";"0.50738";"0.00038";"0.00795";"0.00038";"0.00038";"0.15551";"0.00038";"0.13659";"0.01551";"0.00038";"0.00038";"0.11010"
"102";"french german youtubers blogger influencers offere";"0.00030";"0.00030";"0.26531";"0.00030";"0.00030";"0.00030";"0.00030";"0.00030";"0.00030";"0.00030";"0.00640";"0.70393";"0.02163"
"103";"extent night fraught worry could provide moment po";"0.00885";"0.00022";"0.00022";"0.00022";"0.00022";"0.62616";"0.00022";"0.00022";"0.04338";"0.00022";"0.27434";"0.04554";"0.00022"
"104";"russian athlete begin competing week tokyo olympic";"0.00241";"0.38155";"0.00460";"0.00022";"0.00022";"0.02433";"0.00022";"0.28950";"0.01337";"0.00460";"0.05282";"0.22595";"0.00022"
"105";"russia took action tuesday slow speed twitter move";"0.00025";"0.39589";"0.03830";"0.00025";"0.00025";"0.00025";"0.00025";"0.00025";"0.00025";"0.00025";"0.00025";"0.56328";"0.00025"
"106";"second book french anthropologist nastassja martin";"0.00034";"0.00034";"0.00034";"0.00034";"0.00034";"0.00034";"0.03785";"0.00034";"0.05489";"0.09240";"0.38220";"0.06512";"0.36516"
"107";"france ’ senior naval commander ha said future con";"0.05229";"0.28188";"0.00019";"0.00019";"0.00019";"0.00212";"0.45360";"0.00019";"0.07158";"0.00405";"0.10245";"0.02913";"0.00212"
"108";"covid ha caused loss 28m year life according large";"0.00029";"0.00029";"0.69534";"0.00029";"0.00029";"0.02346";"0.01477";"0.17116";"0.00029";"0.08427";"0.00029";"0.00898";"0.00029"
"109";"russian diplomat lashed uk joining u condemning ru";"0.04836";"0.69757";"0.11515";"0.00294";"0.00027";"0.00027";"0.00027";"0.01363";"0.01095";"0.00027";"0.00027";"0.10980";"0.00027"
"110";"team ever deserved make progress much denmark thri";"0.00024";"0.01669";"0.00024";"0.00024";"0.00024";"0.79967";"0.00024";"0.00024";"0.00024";"0.01199";"0.16482";"0.00024";"0.00494"
"111";"earlier today set following puzzle wa challenge ru";"0.00033";"0.02341";"0.00033";"0.00363";"0.00033";"0.15199";"0.00033";"0.02341";"0.04319";"0.00033";"0.39927";"0.00033";"0.35312"
"112";"earlier month russia ’ prime minister mikhail mish";"0.02138";"0.00035";"0.04241";"0.00035";"0.08447";"0.00035";"0.00035";"0.00386";"0.00035";"0.00035";"0.36838";"0.10200";"0.37539"
"113";"’ time join daniel harris finland v russia – live ";"0.00005";"0.03014";"0.02963";"0.00306";"0.00005";"0.62985";"0.00005";"0.00005";"0.05521";"0.00005";"0.18257";"0.06925";"0.00005"
"114";"joe biden agreed sunday vladimir putin ’ latest as";"0.00018";"0.35261";"0.01283";"0.28032";"0.00560";"0.00018";"0.00199";"0.00018";"0.00018";"0.19176";"0.05802";"0.09597";"0.00018"
"115";"britain ’ foreign secretary ha joined last minute ";"0.18705";"0.64110";"0.00022";"0.01760";"0.09581";"0.00022";"0.00022";"0.00022";"0.00022";"0.05670";"0.00022";"0.00022";"0.00022"
"116";"supporter russian opposition leader alexei navalny";"0.00034";"0.67773";"0.00034";"0.04140";"0.00718";"0.00034";"0.00718";"0.00376";"0.12692";"0.00376";"0.05166";"0.07903";"0.00034"
"117";"former guantnamo detainee facing forced repatriati";"0.00021";"0.25532";"0.02129";"0.00021";"0.00021";"0.00021";"0.39448";"0.01286";"0.08876";"0.00021";"0.04659";"0.16045";"0.01919"
"118";"historian look back donald trump ’ presidency like";"0.00011";"0.28229";"0.00011";"0.35339";"0.00011";"0.00011";"0.00011";"0.00011";"0.00011";"0.00011";"0.04058";"0.32276";"0.00011"
"119";"russia china unveiled plan joint lunar space stati";"0.00034";"0.21029";"0.00034";"0.06129";"0.00034";"0.00034";"0.00034";"0.06807";"0.00034";"0.11209";"0.02066";"0.52523";"0.00034"
"120";"day police ’ engaged fight crime ’ also asked pres";"0.00018";"0.28600";"0.00018";"0.04387";"0.35882";"0.00018";"0.00018";"0.00382";"0.14400";"0.00018";"0.14036";"0.02021";"0.00200"
"121";"leading human right organisation russia released f";"0.00023";"0.41413";"0.00023";"0.00023";"0.00023";"0.00023";"0.28607";"0.00023";"0.00023";"0.00023";"0.00023";"0.29751";"0.00023"
"122";"europe entering dangerous new age instability sinc";"0.02468";"0.67622";"0.00015";"0.00015";"0.00015";"0.00015";"0.15499";"0.00015";"0.00015";"0.00169";"0.09520";"0.04308";"0.00322"
"123";"ten thousand russian city across country taken par";"0.00096";"0.31735";"0.00096";"0.00096";"0.00096";"0.02013";"0.02013";"0.01055";"0.00096";"0.01055";"0.21189";"0.40364";"0.00096"
"124";"public inquiry launched death woman killed 2018 wi";"0.00031";"0.15112";"0.03173";"0.00031";"0.31134";"0.00031";"0.00031";"0.00031";"0.40245";"0.00031";"0.00031";"0.06315";"0.03801"
"125";"appeal court netherlands ha ruled ukraine ha legal";"0.00033";"0.57975";"0.00033";"0.00033";"0.00033";"0.00033";"0.00033";"0.08691";"0.00033";"0.00033";"0.00699";"0.16017";"0.16350"
"126";"joe biden ha called vladimir putin demand de escal";"0.00020";"0.82545";"0.00020";"0.16248";"0.00020";"0.00218";"0.00416";"0.00020";"0.00020";"0.00020";"0.00416";"0.00020";"0.00020"
"127";"november 1974 brian griffin flew luton airport mos";"0.00047";"0.06142";"0.00047";"0.00516";"0.00047";"0.01922";"0.10830";"0.00047";"0.03329";"0.00047";"0.19269";"0.03797";"0.53962"
"128";"antony blinken u secretary state uk foreign secret";"0.00025";"0.56074";"0.00025";"0.00025";"0.04844";"0.00025";"0.16764";"0.00025";"0.00025";"0.21836";"0.00279";"0.00025";"0.00025"
"129";"’ stopped fight regime say garry kasparov word bri";"0.02117";"0.17398";"0.00014";"0.00014";"0.00014";"0.04921";"0.00575";"0.00294";"0.00014";"0.00294";"0.46418";"0.06323";"0.21604"
"130";"russia braced second weekend unrest kremlin crack ";"0.00025";"0.75787";"0.00277";"0.00025";"0.00025";"0.00025";"0.00025";"0.00025";"0.00529";"0.00025";"0.08331";"0.14624";"0.00277"
"131";"kremlin ha broken silence russia ’ biggest opposit";"0.01252";"0.78206";"0.00021";"0.00021";"0.00021";"0.00021";"0.00021";"0.00021";"0.07203";"0.00021";"0.06382";"0.06793";"0.00021"
"132";"month hungarian bookshop chain wa fined selling ch";"0.01513";"0.01513";"0.00025";"0.09943";"0.00025";"0.00025";"0.00025";"0.00025";"0.07959";"0.00025";"0.12670";"0.41929";"0.24324"
"133";"european court human right ha told russia free ale";"0.00044";"0.65156";"0.00044";"0.04004";"0.00044";"0.00044";"0.00044";"0.00044";"0.00044";"0.00044";"0.00924";"0.29520";"0.00044"
"134";"minister relying outdated energy security policy l";"0.61318";"0.16330";"0.00035";"0.00744";"0.00035";"0.00390";"0.00035";"0.00035";"0.01098";"0.15622";"0.00035";"0.04286";"0.00035"
"135";"tehran washington right track come back compliance";"0.11184";"0.73320";"0.00025";"0.00025";"0.00025";"0.00025";"0.00025";"0.00025";"0.00025";"0.15242";"0.00025";"0.00025";"0.00025"
"136";"energy charter treaty ect wa signed 1994 protect i";"0.15903";"0.23476";"0.01118";"0.00036";"0.00036";"0.00036";"0.00036";"0.00397";"0.00036";"0.18788";"0.01118";"0.38983";"0.00036"
"137";"u president joe biden ha unveiled multinational pl";"0.01820";"0.01376";"0.02708";"0.15135";"0.00932";"0.00044";"0.00932";"0.00044";"0.00044";"0.71061";"0.00044";"0.05814";"0.00044"
"138";"united state european delegation un security counc";"0.00019";"0.78301";"0.00019";"0.00019";"0.00019";"0.00779";"0.20730";"0.00019";"0.00019";"0.00019";"0.00019";"0.00019";"0.00019"
